idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41
23,8297.0,259.28125,36.366394,2121.0,0.473463,0.0037367407,0.024616417,3.0,4.6666665,0.4936724,1230.0,0.0,1065.0,0.0,1143.0,0.0,1128.0,0.0,863.0,0.0,979.0,0.0,940.0,0.0,949.0,0.0,0.5192584,0.42212424,0.27304488,0.20035803,0.09217639,-0.0027042083,0.007328222,-0.012048876,0.29374325,0.074928544,0.25975284,0.023292024,0.06600235,0.116432816,0.13740662,0.028441576
24,15449.0,482.78125,106.8804,3035.0,0.48114607,0.0020067322,0.014469028,8.0,1.75,0.52430576,2336.0,0.0,1854.0,0.0,1754.0,0.0,1948.0,0.0,2166.0,0.0,2104.0,0.0,1656.0,0.0,1631.0,0.0,0.22798595,-0.16100118,0.36963025,0.32688254,-0.26240918,-0.33171502,0.062298518,-0.16817975,0.07074182,0.28814214,0.15978712,0.075102925,0.0066960147,0.060181256,0.14400716,0.19534157
25,17060.0,533.125,99.44557,3251.0,0.49434254,0.0018172226,0.013283055,11.0,1.6363636,0.6437866,2337.0,0.0,1917.0,0.0,2314.0,0.0,1884.0,0.0,2219.0,0.0,2208.0,0.0,2304.0,0.0,1877.0,0.0,-0.37903666,-0.007397918,0.40701303,-0.488972,0.21791291,-0.010326987,-0.2591156,0.2075126,0.10728696,0.19877523,0.069791235,0.20711726,0.16184723,0.016218375,0.15687485,0.08208887
26,10754.0,336.0625,45.443604,2903.0,0.49393174,0.0028829165,0.0197408,7.0,1.5714285,0.39148223,1562.0,0.0,1207.0,0.0,1280.0,0.0,1409.0,0.0,1325.0,0.0,1282.0,0.0,1334.0,0.0,1355.0,0.0,0.19654562,0.040965814,-0.028926484,-0.13130023,-0.15889402,-0.071848445,-0.13348229,-0.18800397,0.064130306,0.21638496,0.16948704,0.079344675,0.2080683,0.101221666,0.088573195,0.07278985
27,12307.0,384.59375,83.31523,2857.0,0.5055869,0.0025190965,0.017589828,7.0,2.2857144,0.5864955,1434.0,0.0,1366.0,0.0,1388.0,0.0,1696.0,0.0,1781.0,0.0,1863.0,0.0,1434.0,0.0,1345.0,0.0,0.43162423,-0.19725062,0.016840572,0.5380392,0.41762343,-0.12781738,-0.29328737,0.008699712,0.2669568,0.0697047,0.022704352,0.056453146,0.0758,0.1309406,0.2470343,0.1304061
28,10994.0,343.5625,72.80408,2388.0,0.52730817,0.0028199763,0.019372154,4.0,4.5,0.64444244,1101.0,0.0,931.0,0.0,1539.0,0.0,1649.0,0.0,1376.0,0.0,1355.0,0.0,1690.0,0.0,1353.0,0.0,0.6477387,0.4277541,0.37477764,0.010868712,-0.11407908,-0.17604853,-0.30018714,-0.24473216,0.23977366,0.27543178,0.15510274,0.10655319,0.038897973,0.08264567,0.05620916,0.04538581
29,10609.0,331.53125,68.5456,2535.0,0.46601334,0.0029223228,0.019970903,7.0,2.2857144,0.58516353,1583.0,0.0,1689.0,0.0,1341.0,0.0,1191.0,0.0,1275.0,0.0,1204.0,0.0,1084.0,0.0,1242.0,0.0,0.59141916,0.38414836,0.18467806,0.16930185,0.08841043,0.016040448,-0.015550848,-0.06384254,0.23954362,0.20074539,0.12974815,0.03891167,0.14507785,0.07747258,0.08459436,0.083906375
30,8172.0,255.375,42.127598,2737.0,0.49523154,0.0037939053,0.02493529,6.0,2.6666667,0.5638766,1252.0,0.0,896.0,0.0,890.0,0.0,975.0,0.0,983.0,0.0,1195.0,0.0,992.0,0.0,989.0,0.0,0.41281238,0.28723213,0.07320775,-0.08601089,-0.064557694,-0.263549,-0.22154917,-0.22077687,0.19699141,0.13826677,0.27885118,0.0038723005,0.03808349,0.1349593,0.07241671,0.13655883
31,10441.0,326.28125,61.12346,2887.0,0.48639515,0.0029693486,0.020244801,8.0,2.0,0.5762858,1319.0,0.0,1352.0,0.0,1392.0,0.0,1405.0,0.0,1480.0,0.0,1143.0,0.0,1113.0,0.0,1237.0,0.0,0.08022637,-0.18145894,0.12115696,0.15906158,0.11338277,-0.14053826,0.03347854,0.109690525,0.18581751,0.079337455,0.13801269,0.0458343,0.09526413,0.16380969,0.09428541,0.19763881
32,22346.0,698.3125,210.78757,3105.0,0.46381542,0.001387335,0.01051555,8.0,2.125,0.6577464,2681.0,0.0,3172.0,0.0,3168.0,0.0,3469.0,0.0,3297.0,0.0,2103.0,0.0,2447.0,0.0,2009.0,0.0,0.040614862,0.2631103,0.31540927,0.20591018,0.13332179,0.19181624,0.031532057,-0.052109376,0.3340613,0.091942035,0.084059216,0.046433713,0.04218034,0.15747523,0.09448913,0.14935903
33,18471.0,577.21875,68.28055,3468.0,0.48868236,0.0016783974,0.012401806,8.0,2.375,0.6411672,2343.0,0.0,2496.0,0.0,2555.0,0.0,2265.0,0.0,2238.0,0.0,2045.0,0.0,2210.0,0.0,2319.0,0.0,0.035191033,-0.06307353,0.6929649,0.08441059,-0.13159718,0.36389413,0.066369265,-0.26747617,0.43373466,0.10261096,0.10324824,0.038120124,0.017493917,0.14019015,0.08544226,0.079159714
34,8884.0,277.625,43.176056,2232.0,0.4689765,0.003489812,0.02322875,7.0,2.2857144,0.5656236,1241.0,0.0,1249.0,0.0,1256.0,0.0,1078.0,0.0,1088.0,0.0,1071.0,0.0,1010.0,0.0,891.0,0.0,0.11977477,0.40129614,0.40010566,0.066189535,0.3763031,0.10962947,0.08688326,0.14023905,0.28858072,0.18362816,0.091431215,0.100103624,0.08127229,0.050474517,0.122607775,0.08190172
35,17939.0,560.59375,80.6574,3648.0,0.46912926,0.0017281749,0.012719064,5.0,3.0,0.53157926,2482.0,0.0,2452.0,0.0,2540.0,0.0,2314.0,0.0,2242.0,0.0,2148.0,0.0,1939.0,0.0,1822.0,0.0,0.48913848,0.18762806,0.45624766,0.550778,0.13974293,0.11175504,0.31471834,0.13749444,0.3065922,0.15428507,0.12935714,0.092299044,0.0059307665,0.10106241,0.13153341,0.07893996
36,19369.0,605.28125,71.0828,3637.0,0.4843556,0.0016005783,0.011902844,6.0,3.1666667,0.63880426,2388.0,0.0,2381.0,0.0,2663.0,0.0,2812.0,0.0,2474.0,0.0,2267.0,0.0,2381.0,0.0,2003.0,0.0,0.2984424,0.35148162,0.2893404,0.31182724,0.22434486,0.021734662,0.018693022,0.08107329,0.33574718,0.049484182,0.10529766,0.07988919,0.08861477,0.06501942,0.07577004,0.20017755
37,11292.0,352.875,113.68975,2987.0,0.4140642,0.0027455497,0.018934408,2.0,6.0,0.5048707,2276.0,0.0,1769.0,0.0,1614.0,0.0,1285.0,0.0,1226.0,0.0,1220.0,0.0,1019.0,0.0,883.0,0.0,0.6472339,0.6294514,0.60597825,0.401731,0.41540504,0.3005868,0.25628433,0.21333788,0.31315243,0.1877641,0.11713892,0.11420573,0.080472656,0.06708537,0.055222757,0.064958036
38,14905.0,465.78125,62.253883,3288.0,0.4846436,0.0020799786,0.014922509,7.0,2.0,0.49204963,2147.0,0.0,2039.0,0.0,1909.0,0.0,1670.0,0.0,1700.0,0.0,1696.0,0.0,1957.0,0.0,1787.0,0.0,0.36592105,-0.16224633,-0.10983599,0.4369079,0.46082202,-0.15189222,-0.28796288,-0.051304076,0.2258673,0.07143916,0.087192,0.13465264,0.040404197,0.08320283,0.34797603,0.009265844
39,10629.0,332.15625,55.74894,2512.0,0.47106972,0.0029168234,0.019938823,5.0,2.6,0.46457803,1764.0,0.0,1403.0,0.0,1270.0,0.0,1206.0,0.0,1187.0,0.0,1350.0,0.0,1256.0,0.0,1193.0,0.0,0.40459573,0.43736023,0.16122201,0.20833862,0.10440643,0.034246385,-0.067454554,-0.11046769,0.20387027,0.15674543,0.1854927,0.09577153,0.05304159,0.099813,0.12367596,0.081589535
40,14540.0,454.375,59.78281,2931.0,0.4774016,0.0021321962,0.015244213,6.0,2.6666667,0.55123794,2060.0,0.0,1824.0,0.0,1811.0,0.0,1920.0,0.0,1917.0,0.0,1832.0,0.0,1659.0,0.0,1517.0,0.0,0.27655572,-0.024647791,0.27286884,0.35172853,0.18777993,-0.10401092,-0.13374743,0.2636752,0.16579229,0.18731342,0.08503612,0.057060868,0.1207884,0.03220569,0.114318825,0.2374844
41,9780.0,305.625,99.46757,3088.0,0.44307342,0.0031700584,0.02140556,6.0,2.1666667,0.52985686,1388.0,0.0,1198.0,0.0,1940.0,0.0,1315.0,0.0,1154.0,0.0,1109.0,0.0,838.0,0.0,838.0,0.0,0.6401849,0.47529733,0.16656452,0.14034422,0.15002629,0.13241695,0.100253046,0.05101089,0.29341075,0.05348619,0.18131392,0.14118029,0.09754284,0.114401735,0.0651371,0.05352716
42,12071.0,377.21875,109.927734,3234.0,0.49921566,0.0025683513,0.017883958,3.0,4.0,0.49739045,1502.0,0.0,1087.0,0.0,1204.0,0.0,2091.0,0.0,1960.0,0.0,1764.0,0.0,1249.0,0.0,1214.0,0.0,0.7034397,0.42060485,0.329605,0.26322705,0.085387446,-0.11199468,-0.25285575,-0.34115133,0.27464727,0.2046601,0.12442033,0.06944188,0.021237327,0.12407812,0.06895757,0.11255742
43,17386.0,543.3125,107.67789,3435.0,0.50156784,0.0017831464,0.01306776,7.0,2.2857144,0.5790291,2084.0,0.0,2075.0,0.0,2194.0,0.0,2151.0,0.0,2070.0,0.0,2396.0,0.0,2694.0,0.0,1722.0,0.0,0.25186512,-0.36818868,-0.21106347,0.19400139,-0.08867799,-0.1287421,0.036941603,0.034800313,0.0777403,0.14273117,0.09879385,0.08981263,0.15997571,0.12790546,0.13344008,0.16960081
44,8012.0,250.375,52.69888,2461.0,0.48821124,0.0038696793,0.02535664,5.0,3.0,0.55828756,1098.0,0.0,980.0,0.0,1020.0,0.0,1071.0,0.0,904.0,0.0,1046.0,0.0,1040.0,0.0,853.0,0.0,0.45541197,-0.16601765,-0.6536542,-0.50446373,-0.062115833,0.40198725,0.37638494,0.063998334,0.025452785,0.06199394,0.1887691,0.022794768,0.4979985,0.13103658,0.05560051,0.016353793
45,3472.0,108.5,34.39749,1516.0,0.49163818,0.008931144,0.051030163,10.0,1.6,0.6359447,478.0,0.0,430.0,0.0,443.0,0.0,420.0,0.0,379.0,0.0,454.0,0.0,450.0,0.0,418.0,0.0,-0.35001454,-0.366436,0.6035801,-0.3472347,-0.31375125,0.5844646,-0.20872511,-0.34327292,0.077343225,0.05340133,0.16915369,0.07682139,0.23811786,0.10233685,0.12933977,0.1534859
46,8303.0,259.46875,47.691708,2450.0,0.48794645,0.00373404,0.024601331,5.0,3.2,0.58051306,1275.0,0.0,933.0,0.0,1094.0,0.0,913.0,0.0,1020.0,0.0,1065.0,0.0,953.0,0.0,1050.0,0.0,0.5936471,-0.030257806,-0.5016478,-0.5369633,-0.20949116,0.26927665,0.45143944,0.2650806,0.111401394,0.106213376,0.18399818,0.2198021,0.2529186,0.03784213,0.046438355,0.041385867
47,9119.0,284.96875,53.247936,2628.0,0.47052768,0.0033998685,0.022718998,7.0,2.4285715,0.60554886,1391.0,0.0,1305.0,0.0,1190.0,0.0,1049.0,0.0,1084.0,0.0,969.0,0.0,969.0,0.0,1162.0,0.0,0.4323602,0.09831881,0.03522533,0.12365606,0.19629727,0.40732294,0.21087953,-0.046702716,0.24263641,0.114864066,0.103336535,0.062332097,0.20624794,0.060781486,0.1057728,0.10402866
48,2355.0,73.59375,13.504303,1274.0,0.4742141,0.0131690735,0.07010254,9.0,1.6666666,0.5384289,374.0,0.0,323.0,0.0,280.0,0.0,272.0,0.0,281.0,0.0,273.0,0.0,265.0,0.0,287.0,0.0,0.09999153,0.0064282864,0.33330384,0.09031061,-0.02689475,0.3043665,0.12618428,-0.10264508,0.2568271,0.1395865,0.08199921,0.08700575,0.11495229,0.17423636,0.101676986,0.04371582
49,7366.0,230.1875,44.24607,2338.0,0.4868051,0.004209097,0.027226122,6.0,2.3333333,0.51493347,1009.0,0.0,872.0,0.0,1132.0,0.0,863.0,0.0,880.0,0.0,850.0,0.0,774.0,0.0,986.0,0.0,0.292525,-0.294096,-0.2202531,-0.24442086,0.0777834,0.5400126,0.26924133,-0.16801666,0.17031355,0.05574983,0.07300002,0.07880318,0.3461085,0.092281364,0.08601249,0.09773106
50,3986.0,124.5625,15.378429,1359.0,0.47780132,0.0077791717,0.04552687,4.0,2.5,0.3512293,624.0,0.0,509.0,0.0,484.0,0.0,485.0,0.0,485.0,0.0,452.0,0.0,471.0,0.0,476.0,0.0,0.3648311,0.33301023,0.30533516,0.16759783,0.12883973,0.032923914,0.09677884,0.047614917,0.23562151,0.18343954,0.08005621,0.1439709,0.07752934,0.035331532,0.1060138,0.13803716
51,3196.0,99.875,20.540737,1305.0,0.47012395,0.00970266,0.054630715,8.0,1.375,0.4014393,528.0,0.0,415.0,0.0,383.0,0.0,379.0,0.0,384.0,0.0,369.0,0.0,397.0,0.0,341.0,0.0,0.067259885,0.15967439,0.09652284,0.025168499,0.19737042,-0.032207068,0.07363187,-0.07745436,0.15546894,0.12371073,0.112004794,0.12499704,0.13388245,0.12677474,0.15348744,0.06967386
52,2735.0,85.46875,18.301271,1409.0,0.47271332,0.011338698,0.06206625,6.0,2.0,0.43765995,479.0,0.0,329.0,0.0,328.0,0.0,296.0,0.0,321.0,0.0,329.0,0.0,336.0,0.0,317.0,0.0,0.34837806,0.23635232,0.068622805,0.016837597,0.09393642,-0.057783183,0.00047169984,-0.028778337,0.1963171,0.12305987,0.16663168,0.13329084,0.13621962,0.04382439,0.096794955,0.10386153
53,2143.0,66.96875,25.689838,1161.0,0.42423195,0.014472456,0.07566542,4.0,2.5,0.4330378,463.0,0.0,301.0,0.0,276.0,0.0,222.0,0.0,228.0,0.0,248.0,0.0,205.0,0.0,200.0,0.0,0.44768694,0.31077057,0.27902627,0.3026661,0.05628063,0.06770396,0.079380326,0.07244339,0.20658396,0.16424659,0.15913926,0.11844473,0.07083646,0.09183712,0.08957507,0.09933679
54,14482.0,452.5625,132.9316,2982.0,0.44140223,0.0021407362,0.015296704,4.0,4.75,0.7124016,2066.0,0.0,2023.0,0.0,2324.0,0.0,2014.0,0.0,1892.0,0.0,2047.0,0.0,1155.0,0.0,961.0,0.0,0.7906161,0.47608188,0.25940874,0.19443312,0.23311116,0.2951811,0.19826058,-0.002985757,0.29297483,0.20152998,0.13359046,0.077043384,0.18094522,0.07705348,0.007582337,0.029280318
55,8590.0,268.4375,61.711494,2652.0,0.46531975,0.0036092678,0.023902172,4.0,3.0,0.47322467,1414.0,0.0,1320.0,0.0,1076.0,0.0,926.0,0.0,845.0,0.0,916.0,0.0,1015.0,0.0,1078.0,0.0,0.62177247,0.2970104,0.25271678,0.4725142,0.41255483,0.08875363,-0.12931041,-0.10838017,0.3073767,0.11321426,0.11364724,0.033700734,0.04390087,0.091676995,0.22533922,0.071143955
56,6083.0,190.09375,46.00432,1916.0,0.447694,0.0050970074,0.031991616,9.0,1.6666666,0.55219465,1061.0,0.0,835.0,0.0,778.0,0.0,777.0,0.0,759.0,0.0,722.0,0.0,573.0,0.0,578.0,0.0,0.2205485,0.45959735,0.31925896,0.18932289,0.26122093,0.14271484,0.23915938,-0.082845606,0.25010347,0.2114101,0.13381304,0.068545945,0.10670805,0.12319211,0.081458434,0.024768826
57,10504.0,328.25,56.347694,2868.0,0.49902955,0.0029515377,0.02014115,6.0,2.5,0.5469345,1342.0,0.0,1468.0,0.0,1169.0,0.0,1258.0,0.0,1333.0,0.0,1184.0,0.0,1306.0,0.0,1444.0,0.0,0.3051607,-0.3012527,-0.41516346,-0.20297582,0.21154542,0.41584197,0.15095237,-0.24388792,0.13762832,0.06526951,0.07074581,0.11296897,0.28079772,0.1151876,0.13542499,0.0819771
58,13130.0,410.3125,57.131668,2970.0,0.48594943,0.0023611852,0.01664024,8.0,1.75,0.48545316,1923.0,0.0,1714.0,0.0,1586.0,0.0,1551.0,0.0,1549.0,0.0,1568.0,0.0,1611.0,0.0,1628.0,0.0,0.15203756,-0.09814917,0.042656224,0.17814621,0.27515686,0.0042321095,-0.016522998,0.0095917145,0.20413229,0.05958579,0.063975096,0.10838412,0.08199615,0.15099037,0.20477708,0.1261591
59,4543.0,141.96875,15.318461,1931.0,0.49517512,0.0068251872,0.040839974,7.0,1.8571428,0.45014307,598.0,0.0,553.0,0.0,550.0,0.0,596.0,0.0,597.0,0.0,545.0,0.0,551.0,0.0,553.0,0.0,0.07934665,-0.06645413,0.04843752,-0.12232091,-0.2350321,0.06060175,-0.20026976,0.0019299837,0.031223154,0.2548098,0.13887094,0.045579683,0.22885442,0.05642843,0.1703879,0.07384568
